bldg_guid,node_guid,edge_guid
0151cba8-85b3-4e8d-9f35-b2b60c475283,096450cc-cedb-4e34-aae6-37cdeea663fb,2a57d31f-988d-4668-9531-b5c95a0040fd
0152b31a-69ff-4a74-8d99-1664a8e52613,42102e16-f017-4eca-a68a-88244fbf739a,adebe066-c767-4568-bae2-acd38335b668
01551c3a-30d3-471c-ab1a-1b55215c9aa3,70b5a584-f432-40f8-9428-ee3c441542cb,74c5098b-0bcb-41bf-bec5-315946db2a35
0158e13e-7354-487d-bbbd-7da56e4f141e,e6a5f37d-7dd2-4928-8d94-f91bfbc24174,2cf1d663-c038-4d26-a3f2-e86102f6db10
015979fe-46ab-43cc-a325-d708745c8397,9afcfe8b-4aeb-4aff-bd31-b1c08d4dbb70,0b87a077-e19d-4f1f-a9aa-6c33a5f9b50c
01597db5-5a79-4839-bbff-5167b78d83b5,9e4f497a-283d-4020-b6bf-f6d3bd0d1c27,1d7d1676-2f88-4644-8c3b-508952d342cb
0159b6ae-17f3-430a-bdff-84ab33547e17,c2c9e23d-de81-43c7-ac6f-0e951e772124,5b3b2476-6341-453f-b570-c62a29b28cf4
0159dda1-8f99-481a-8171-22f3bc7c2277,649ea083-7b6b-468d-b235-7aafb937b32f,f34706a6-3cd2-4615-b5db-288667f23b35
015b70bb-66c0-4572-a29d-3c36054dba6d,654e974a-39d1-4ed1-abc0-e2cc1f043dc2,88803a96-db77-4189-9f46-09ebd1812fe6
015cb11a-0afa-4790-9655-db527c836ea0,79f9cb52-b88b-4b6f-bed4-89b2c443744e,466978a6-b186-485c-9135-f301d2031658
015d3432-3924-4883-8e6e-9c88c490db25,daf2376d-bf8d-4f23-852c-ac5edab48039,b954c222-2bc3-426a-ad6b-addaaa01a1c1
015f9f2e-c842-4b0e-b38c-d3096a5a7224,310da98e-71ae-4bdd-b07c-0657b8bebc60,44159f68-6d31-4ab4-8a52-4d72a9db4d9f
016077fc-21aa-4a01-b86a-cb54833ff5fc,fe86b3b7-2380-4939-83e8-e15758f94bcb,4ccc124d-db65-4aed-8cba-a2af98d5fe37
016092c7-b973-4dfd-b907-c4ae6e8c3409,17df64cb-075d-4130-9aaf-5cbb8c3c0ae7,347969c9-1eb5-4213-b455-5ac1ba4da616
0160f8f2-2a60-49d8-8c84-c28c7beb4cfe,8da6cdb7-c3ca-4dd0-8eeb-3eb182bc6f12,b869f8bc-6bcb-4dad-bec9-b2dbcdf0fe3a
01617aa1-20f8-4b84-8c63-9fe31a697932,ce373591-ebc3-40e4-bf17-7ffefb0de8ef,f6c30174-32d0-41ec-8a6f-1c7b3522f473
01626a51-ae2d-466b-86c2-7f807f5f847e,7acf3d9a-52d8-4a93-a9f5-a6aa000dd490,74b6c5b4-d52d-4296-b709-5bc5fb9b42c4
01699621-2c66-4609-a0c4-85cd07a60d4f,4a0be370-c29e-4c32-b424-8f861b7e1d46,cdeececd-b0c1-4a92-8472-b7848ec5f7a4
016afe21-a4c5-45fb-b6c7-b933bd5fd6d1,ce560299-e630-4d4c-b11c-bbc1f607c73e,e5f43255-59a8-4f02-a88e-eb54ab1a8a69
016b1489-ccec-4e9a-bc04-da92bcc96733,371dd7c0-3f40-442e-b215-84604ea89024,2ebf1997-0925-4789-8621-fc04adf52f1a
016e237e-6227-450c-812e-d99488f18bbb,7b66df6e-e34d-44df-a5b2-28622221a9ea,a0e22bc5-19f7-43c8-b282-121a9110e918
0173b67e-dee5-41a7-bc44-833f2061431a,99fc33fb-b24a-4bd3-bbcc-2c8cc3044773,3e645dbf-2286-40e2-8677-61e6614af342
0175fe54-19e0-4c19-9cb2-00fb47978483,9876a07c-5fb1-40c9-8021-1279e62c7093,d88c2f52-cb66-441e-ad18-f2285deb7072
0176e97c-ad86-4c81-a446-554296025356,aba27bab-4e4c-4f4f-b30e-89796a7b0671,0195c4b5-2993-4a02-9022-c3f1627dda1f
017a0d0d-5337-4c88-8442-070a9179800a,0386c5af-2c45-4589-a9a8-b3ca70a3bf6e,a4c26fa8-5c19-4d9a-ac8b-b8afa95ca93e
017a504b-f300-4fcc-94a2-d5e3d736cbaf,3520849e-c9fa-495c-8988-43353caa2985,9a3fa9a6-c554-45a7-9546-7c9b519e8920
017ca8a2-a892-4586-8419-d8beee3d3587,26f7bfbf-acbe-4738-98f4-64fa62ef28a6,379e849f-382f-4a52-80d1-33721c54147e
0181391e-67fe-4003-b44b-2f8e5bb0b4a3,d1dea5e9-c77f-48c0-8330-08e25d279aef,9f32bb1c-f806-49fa-827c-d1026ef5a997
0183089a-f188-4be9-aec9-f6c7a623d421,29d589d4-12aa-4501-bb31-f234e8bfacfc,1100e0a6-2e5c-4cf7-b3df-3547263549b1
01848289-87cb-473a-9bb0-b5a6f1c38827,80e8c154-0d9d-4018-8c1e-6f9ae4b636dc,d98d2dbc-3022-456a-9bee-95a7387bcf3a
